"year","jurisdiction","cause_subgroup","deaths"
"2016","Ohio","Other diseases of the respiratory system","2928"
"2016","Ohio","Malignant neoplasms","25378"
"2016","Ohio","Hypertensive diseases","3327"
"2016","Ohio","Other diseases of the circulatory system","7948"
"2016","Ohio","Cerebrovascular diseases","5951"
"2016","Ohio","Heart failure","3647"
"2016","Ohio","Diabetes","3532"
"2016","Ohio","Ischemic heart disease","15010"
"2016","Ohio","Alzheimer disease and dementia","11275"
"2016","Oklahoma","Other diseases of the respiratory system","455"
"2016","Oklahoma","Renal failure","246"
"2016","Oklahoma","Ischemic heart disease","5758"
"2016","Oklahoma","Malignant neoplasms","7873"
"2016","Oklahoma","Alzheimer disease and dementia","2845"
"2016","Oklahoma","Diabetes","1353"
"2016","Oklahoma","Sepsis","166"
"2016","Oklahoma","Influenza and pneumonia","322"
"2016","Oklahoma","Hypertensive diseases","2586"
"2016","Oklahoma","Chronic lower respiratory disease","2689"
"2016","Oklahoma","Cerebrovascular diseases","1767"
"2016","Oklahoma","Other diseases of the circulatory system","1652"
"2016","Oklahoma","Heart failure","640"
"2016","Oregon","Ischemic heart disease","3473"
"2016","Oregon","Sepsis","12"
"2016","Oregon","Influenza and pneumonia","206"
"2016","Oregon","Other diseases of the circulatory system","2488"
"2016","Oregon","Diabetes","1229"
"2016","Oregon","Heart failure","1020"
"2016","Oregon","Chronic lower respiratory disease","2066"
"2016","Oregon","Renal failure","49"
"2016","Oregon","Alzheimer disease and dementia","3956"
"2016","Oregon","Other diseases of the respiratory system","412"
"2016","Oregon","Hypertensive diseases","869"
"2016","Oregon","Cerebrovascular diseases","1949"
"2016","Oregon","Malignant neoplasms","8053"
"2016","Pennsylvania","Other diseases of the circulatory system","9600"
"2016","Pennsylvania","Chronic lower respiratory disease","6499"
"2016","Pennsylvania","Sepsis","2472"
"2016","Pennsylvania","Renal failure","2784"
"2016","Pennsylvania","Ischemic heart disease","17763"
"2016","Pennsylvania","Hypertensive diseases","2705"
"2016","Pennsylvania","Other diseases of the respiratory system","3844"
"2016","Pennsylvania","Cerebrovascular diseases","6841"
"2016","Pennsylvania","Heart failure","4535"
"2016","Pennsylvania","Influenza and pneumonia","2494"
"2016","Pennsylvania","Alzheimer disease and dementia","12133"
"2016","Pennsylvania","Malignant neoplasms","28709"
"2016","Pennsylvania","Diabetes","3548"
"2016","Puerto Rico","Influenza and pneumonia","737"
"2016","Puerto Rico","Other diseases of the circulatory system","883"
"2016","Puerto Rico","Diabetes","3120"
"2016","Puerto Rico","Alzheimer disease and dementia","2535"
"2016","Puerto Rico","Chronic lower respiratory disease","1141"
"2016","Puerto Rico","Cerebrovascular diseases","1161"
"2016","Puerto Rico","Sepsis","613"
"2016","Puerto Rico","Hypertensive diseases","1248"
"2016","Puerto Rico","Heart failure","265"
"2016","Puerto Rico","Renal failure","814"
"2016","Puerto Rico","Other diseases of the respiratory system","551"
"2016","Puerto Rico","Malignant neoplasms","5106"
"2016","Puerto Rico","Ischemic heart disease","3364"
"2016","Rhode Island","Other diseases of the respiratory system","12"
"2016","Rhode Island","Chronic lower respiratory disease","215"
"2016","Rhode Island","Diabetes","12"
"2016","Rhode Island","Malignant neoplasms","2203"
"2016","Rhode Island","Ischemic heart disease","1503"
"2016","Rhode Island","Cerebrovascular diseases","176"
"2016","Rhode Island","Alzheimer disease and dementia","1268"
"2016","Rhode Island","Other diseases of the circulatory system","204"
"2016","Rhode Island","Hypertensive diseases","12"
"2016","South Carolina","Sepsis","768"
"2016","South Carolina","Diabetes","1346"
"2016","South Carolina","Other diseases of the respiratory system","1151"
"2016","South Carolina","Hypertensive diseases","1094"
"2016","South Carolina","Influenza and pneumonia","517"
"2016","South Carolina","Malignant neoplasms","9994"
"2016","South Carolina","Chronic lower respiratory disease","2823"
"2016","South Carolina","Cerebrovascular diseases","2551"
"2016","South Carolina","Ischemic heart disease","5136"
"2016","South Carolina","Heart failure","1286"
"2016","South Carolina","Renal failure","799"
"2016","South Carolina","Other diseases of the circulatory system","3498"
"2016","South Carolina","Alzheimer disease and dementia","4669"
"2016","South Dakota","Cerebrovascular diseases","163"
"2016","South Dakota","Malignant neoplasms","1708"
"2016","South Dakota","Chronic lower respiratory disease","183"
"2016","South Dakota","Alzheimer disease and dementia","550"
"2016","South Dakota","Other diseases of the circulatory system","216"
"2016","South Dakota","Ischemic heart disease","1158"
"2016","Tennessee","Chronic lower respiratory disease","4459"
"2016","Tennessee","Cerebrovascular diseases","3883"
"2016","Tennessee","Malignant neoplasms","14994"
"2016","Tennessee","Alzheimer disease and dementia","6498"
"2016","Tennessee","Heart failure","1509"
"2016","Tennessee","Sepsis","1048"
"2016","Tennessee","Ischemic heart disease","9930"
"2016","Tennessee","Diabetes","1945"
"2016","Tennessee","Renal failure","1188"
"2016","Tennessee","Other diseases of the respiratory system","1686"
"2016","Tennessee","Influenza and pneumonia","1665"
"2016","Tennessee","Other diseases of the circulatory system","3913"
"2016","Tennessee","Hypertensive diseases","2043"
"2016","Texas","Sepsis","4309"
"2016","Texas","Heart failure","5454"
"2016","Texas","Influenza and pneumonia","2904"
"2016","Texas","Alzheimer disease and dementia","17685"
"2016","Texas","Diabetes","5507"
"2016","Texas","Renal failure","4094"
"2016","Texas","Hypertensive diseases","5801"
"2016","Texas","Cerebrovascular diseases","10818"
"2016","Texas","Chronic lower respiratory disease","10171"
"2016","Texas","Ischemic heart disease","25053"
"2016","Texas","Other diseases of the circulatory system","11687"
"2016","Texas","Other diseases of the respiratory system","4527"
"2016","Texas","Malignant neoplasms","40525"
"2016","United States","Heart failure","77704"
"2016","United States","Diabetes","79653"
"2016","United States","Other diseases of the circulatory system","173208"
"2016","United States","Influenza and pneumonia","51246"
"2016","United States","Ischemic heart disease","362137"
"2016","United States","Hypertensive diseases","82625"
"2016","United States","Cerebrovascular diseases","141533"
"2016","United States","Sepsis","40416"
"2016","United States","Malignant neoplasms","595172"
"2016","United States","Renal failure","48831"
"2016","United States","Chronic lower respiratory disease","153667"
"2016","United States","Other diseases of the respiratory system","62081"
"2016","United States","Alzheimer disease and dementia","248101"
"2016","Utah","Influenza and pneumonia","170"
"2016","Utah","Hypertensive diseases","22"
"2016","Utah","Other diseases of the respiratory system","84"
"2016","Utah","Alzheimer disease and dementia","1766"
"2016","Utah","Ischemic heart disease","1678"
"2016","Utah","Chronic lower respiratory disease","815"
"2016","Utah","Renal failure","82"
"2016","Utah","Cerebrovascular diseases","948"
"2016","Utah","Heart failure","869"
"2016","Utah","Other diseases of the circulatory system","1205"
"2016","Utah","Diabetes","480"
"2016","Utah","Malignant neoplasms","3201"
"2016","Vermont","Malignant neoplasms","1327"
"2016","Vermont","Other diseases of the circulatory system","26"
"2016","Vermont","Alzheimer disease and dementia","519"
"2016","Vermont","Cerebrovascular diseases","14"
"2016","Vermont","Chronic lower respiratory disease","61"
"2016","Vermont","Ischemic heart disease","866"
"2016","Virginia","Other diseases of the respiratory system","1720"
"2016","Virginia","Sepsis","1205"
"2016","Virginia","Heart failure","2123"
"2016","Virginia","Malignant neoplasms","14708"
"2016","Virginia","Diabetes","2029"
"2016","Virginia","Other diseases of the circulatory system","4382"
"2016","Virginia","Alzheimer disease and dementia","6517"
"2016","Virginia","Hypertensive diseases","1428"
"2016","Virginia","Renal failure","1481"
"2016","Virginia","Ischemic heart disease","7381"
"2016","Virginia","Influenza and pneumonia","1101"
"2016","Virginia","Cerebrovascular diseases","3446"
"2016","Virginia","Chronic lower respiratory disease","3148"
"2016","Washington","Hypertensive diseases","1619"
"2016","Washington","Ischemic heart disease","6374"
"2016","Washington","Sepsis","258"
"2016","Washington","Diabetes","1698"
"2016","Washington","Heart failure","544"
"2016","Washington","Cerebrovascular diseases","2909"
"2016","Washington","Malignant neoplasms","12619"
"2016","Washington","Alzheimer disease and dementia","5673"
"2016","Washington","Chronic lower respiratory disease","3023"
"2016","Washington","Influenza and pneumonia","719"
"2016","Washington","Other diseases of the respiratory system","1325"
"2016","Washington","Renal failure","134"
"2016","Washington","Other diseases of the circulatory system","3646"
"2016","West Virginia","Heart failure","320"
"2016","West Virginia","Other diseases of the circulatory system","1109"
"2016","West Virginia","Influenza and pneumonia","138"
"2016","West Virginia","Diabetes","819"
"2016","West Virginia","Hypertensive diseases","162"
"2016","West Virginia","Sepsis","25"
"2016","West Virginia","Malignant neoplasms","4560"
"2016","West Virginia","Other diseases of the respiratory system","125"
"2016","West Virginia","Chronic lower respiratory disease","1569"
"2016","West Virginia","Ischemic heart disease","3056"
"2016","West Virginia","Renal failure","151"
"2016","West Virginia","Alzheimer disease and dementia","1710"
"2016","West Virginia","Cerebrovascular diseases","959"
"2016","Wisconsin","Chronic lower respiratory disease","2759"
"2016","Wisconsin","Cerebrovascular diseases","2440"
"2016","Wisconsin","Hypertensive diseases","1274"
"2016","Wisconsin","Renal failure","912"
"2016","Wisconsin","Diabetes","1417"
"2016","Wisconsin","Ischemic heart disease","6354"
"2016","Wisconsin","Other diseases of the circulatory system","3371"
"2016","Wisconsin","Alzheimer disease and dementia","5330"
"2016","Wisconsin","Malignant neoplasms","11378"
"2016","Wisconsin","Influenza and pneumonia","846"
"2016","Wisconsin","Heart failure","1483"
"2016","Wisconsin","Other diseases of the respiratory system","1091"
"2016","Wisconsin","Sepsis","311"
"2016","Wyoming","Ischemic heart disease","354"
"2016","Wyoming","Malignant neoplasms","832"
"2016","Wyoming","Alzheimer disease and dementia","23"
"2016","Wyoming","Other diseases of the circulatory system","23"
"2016","Wyoming","Chronic lower respiratory disease","22"
"2017","Alabama","Other diseases of the circulatory system","5347"
"2017","Alabama","Cerebrovascular diseases","2847"
"2017","Alabama","Other diseases of the respiratory system","1390"
"2017","Alabama","Ischemic heart disease","4876"
"2017","Alabama","Hypertensive diseases","1318"
"2017","Alabama","Malignant neoplasms","10155"
"2017","Alabama","Influenza and pneumonia","1149"
"2017","Alabama","Alzheimer disease and dementia","4726"
"2017","Alabama","Sepsis","1005"
"2017","Alabama","Heart failure","2437"
"2017","Alabama","Diabetes","1133"
"2017","Alabama","Renal failure","914"
"2017","Alabama","Chronic lower respiratory disease","3404"
"2017","Alaska","Ischemic heart disease","222"
"2017","Alaska","Malignant neoplasms","847"
"2017","Alaska","Other diseases of the circulatory system","11"
"2017","Arizona","Other diseases of the respiratory system","1138"
"2017","Arizona","Heart failure","726"
"2017","Arizona","Sepsis","213"
"2017","Arizona","Malignant neoplasms","12090"
"2017","Arizona","Cerebrovascular diseases","2686"
"2017","Arizona","Diabetes","2056"
"2017","Arizona","Influenza and pneumonia","792"
"2017","Arizona","Alzheimer disease and dementia","5041"
"2017","Arizona","Other diseases of the circulatory system","3039"
"2017","Arizona","Hypertensive diseases","2328"
"2017","Arizona","Renal failure","310"
"2017","Arizona","Chronic lower respiratory disease","3824"
"2017","Arizona","Ischemic heart disease","7979"
"2017","Arkansas","Influenza and pneumonia","466"
"2017","Arkansas","Malignant neoplasms","6414"
"2017","Arkansas","Other diseases of the respiratory system","301"
"2017","Arkansas","Renal failure","556"
"2017","Arkansas","Diabetes","1152"
"2017","Arkansas","Other diseases of the circulatory system","1447"
"2017","Arkansas","Cerebrovascular diseases","1527"
"2017","Arkansas","Ischemic heart disease","5131"
"2017","Arkansas","Heart failure","884"
"2017","Arkansas","Chronic lower respiratory disease","2466"
"2017","Arkansas","Sepsis","134"
"2017","Arkansas","Hypertensive diseases","1282"
"2017","Arkansas","Alzheimer disease and dementia","2727"
"2017","California","Malignant neoplasms","59649"
"2017","California","Diabetes","9574"
"2017","California","Influenza and pneumonia","6296"
"2017","California","Other diseases of the respiratory system","4695"
"2017","California","Alzheimer disease and dementia","24951"
"2017","California","Ischemic heart disease","38363"
"2017","California","Sepsis","1515"
"2017","California","Renal failure","3783"
"2017","California","Cerebrovascular diseases","16348"
"2017","California","Other diseases of the circulatory system","14209"
"2017","California","Heart failure","7215"
"2017","California","Chronic lower respiratory disease","13846"
"2017","California","Hypertensive diseases","11671"
"2017","Colorado","Sepsis","271"
"2017","Colorado","Other diseases of the circulatory system","2345"
"2017","Colorado","Influenza and pneumonia","407"
"2017","Colorado","Malignant neoplasms","7844"
"2017","Colorado","Diabetes","1027"
"2017","Colorado","Renal failure","272"
"2017","Colorado","Cerebrovascular diseases","2024"
"2017","Colorado","Hypertensive diseases","1024"
"2017","Colorado","Ischemic heart disease","3742"
"2017","Colorado","Other diseases of the respiratory system","889"
"2017","Colorado","Alzheimer disease and dementia","3823"
"2017","Colorado","Heart failure","800"
"2017","Colorado","Chronic lower respiratory disease","2597"
"2017","Connecticut","Chronic lower respiratory disease","1477"
"2017","Connecticut","Malignant neoplasms","6694"
"2017","Connecticut","Heart failure","992"
"2017","Connecticut","Renal failure","343"
"2017","Connecticut","Other diseases of the circulatory system","2367"
"2017","Connecticut","Sepsis","466"
"2017","Connecticut","Diabetes","584"
"2017","Connecticut","Hypertensive diseases","631"
"2017","Connecticut","Ischemic heart disease","3792"
"2017","Connecticut","Influenza and pneumonia","549"
"2017","Connecticut","Cerebrovascular diseases","1409"
"2017","Connecticut","Other diseases of the respiratory system","1061"
"2017","Connecticut","Alzheimer disease and dementia","3378"
"2017","Delaware","Ischemic heart disease","1138"
"2017","Delaware","Chronic lower respiratory disease","274"
"2017","Delaware","Other diseases of the circulatory system","459"
"2017","Delaware","Malignant neoplasms","2083"
"2017","Delaware","Alzheimer disease and dementia","717"
"2017","Delaware","Hypertensive diseases","11"
"2017","Delaware","Cerebrovascular diseases","414"
"2017","District of Columbia","Malignant neoplasms","1341"
"2017","District of Columbia","Ischemic heart disease","850"
"2017","District of Columbia","Cerebrovascular diseases","37"
"2017","District of Columbia","Hypertensive diseases","98"
"2017","District of Columbia","Alzheimer disease and dementia","47"
"2017","District of Columbia","Other diseases of the circulatory system","46"
"2017","Florida","Diabetes","6179"
"2017","Florida","Hypertensive diseases","6609"
"2017","Florida","Other diseases of the respiratory system","3879"
"2017","Florida","Cerebrovascular diseases","12797"
"2017","Florida","Alzheimer disease and dementia","17383"
"2017","Florida","Influenza and pneumonia","3093"
"2017","Florida","Other diseases of the circulatory system","11723"
"2017","Florida","Renal failure","3152"
"2017","Florida","Malignant neoplasms","44875"
"2017","Florida","Ischemic heart disease","29844"
"2017","Florida","Sepsis","2513"
"2017","Florida","Heart failure","3919"
"2017","Florida","Chronic lower respiratory disease","12697"
"2017","Georgia","Diabetes","2365"
"2017","Georgia","Influenza and pneumonia","1447"
"2017","Georgia","Alzheimer disease and dementia","7714"
"2017","Georgia","Hypertensive diseases","3446"
"2017","Georgia","Chronic lower respiratory disease","4865"
"2017","Georgia","Cerebrovascular diseases","4371"
"2017","Georgia","Heart failure","3398"
"2017","Georgia","Other diseases of the circulatory system","5787"
"2017","Georgia","Renal failure","1916"
"2017","Georgia","Ischemic heart disease","7705"
"2017","Georgia","Sepsis","1641"
"2017","Georgia","Other diseases of the respiratory system","2445"
"2017","Georgia","Malignant neoplasms","17269"
"2017","Hawaii","Other diseases of the circulatory system","924"
"2017","Hawaii","Malignant neoplasms","2424"
"2017","Hawaii","Hypertensive diseases","46"
"2017","Hawaii","Alzheimer disease and dementia","1149"
"2017","Hawaii","Influenza and pneumonia","513"
"2017","Hawaii","Chronic lower respiratory disease","65"
"2017","Hawaii","Heart failure","22"
"2017","Hawaii","Cerebrovascular diseases","685"
"2017","Hawaii","Ischemic heart disease","1307"
"2017","Idaho","Chronic lower respiratory disease","899"
"2017","Idaho","Cerebrovascular diseases","591"
"2017","Idaho","Influenza and pneumonia","53"
"2017","Idaho","Malignant neoplasms","3005"
"2017","Idaho","Alzheimer disease and dementia","1372"
"2017","Idaho","Heart failure","156"
"2017","Idaho","Diabetes","122"
"2017","Idaho","Other diseases of the respiratory system","47"
"2017","Idaho","Other diseases of the circulatory system","907"
"2017","Idaho","Ischemic heart disease","1607"
"2017","Illinois","Ischemic heart disease","12453"
"2017","Illinois","Alzheimer disease and dementia","10020"
"2017","Illinois","Renal failure","2422"
"2017","Illinois","Malignant neoplasms","23583"
"2017","Illinois","Sepsis","1719"
"2017","Illinois","Other diseases of the circulatory system","7328"
"2017","Illinois","Hypertensive diseases","3294"
"2017","Illinois","Other diseases of the respiratory system","2464"
"2017","Illinois","Cerebrovascular diseases","5791"
"2017","Illinois","Chronic lower respiratory disease","5585"
"2017","Illinois","Influenza and pneumonia","2326"
"2017","Illinois","Heart failure","4023"
"2017","Illinois","Diabetes","2847"
"2017","Indiana","Other diseases of the respiratory system","1694"
"2017","Indiana","Influenza and pneumonia","1014"
"2017","Indiana","Cerebrovascular diseases","3119"
"2017","Indiana","Heart failure","1977"
"2017","Indiana","Alzheimer disease and dementia","6272"
"2017","Indiana","Diabetes","2140"
"2017","Indiana","Malignant neoplasms","13385"
"2017","Indiana","Hypertensive diseases","1750"
"2017","Indiana","Sepsis","1314"
"2017","Indiana","Ischemic heart disease","8077"
"2017","Indiana","Renal failure","1465"
"2017","Indiana","Chronic lower respiratory disease","4426"
"2017","Indiana","Other diseases of the circulatory system","4288"
"2017","Iowa","Malignant neoplasms","6402"
"2017","Iowa","Renal failure","85"
"2017","Iowa","Sepsis","59"
"2017","Iowa","Ischemic heart disease","4365"
"2017","Iowa","Diabetes","909"
"2017","Iowa","Alzheimer disease and dementia","3258"
"2017","Iowa","Chronic lower respiratory disease","1927"
"2017","Iowa","Other diseases of the respiratory system","635"
"2017","Iowa","Cerebrovascular diseases","1386"
"2017","Iowa","Hypertensive diseases","931"
"2017","Iowa","Influenza and pneumonia","326"
"2017","Iowa","Heart failure","525"
"2017","Iowa","Other diseases of the circulatory system","1882"
"2017","Kansas","Hypertensive diseases","502"
"2017","Kansas","Influenza and pneumonia","268"
"2017","Kansas","Renal failure","240"
"2017","Kansas","Chronic lower respiratory disease","1770"
"2017","Kansas","Alzheimer disease and dementia","2573"
"2017","Kansas","Malignant neoplasms","5191"
"2017","Kansas","Ischemic heart disease","3281"
"2017","Kansas","Other diseases of the circulatory system","1851"
"2017","Kansas","Diabetes","815"
"2017","Kansas","Cerebrovascular diseases","1256"
"2017","Kansas","Sepsis","25"
"2017","Kansas","Heart failure","619"
"2017","Kansas","Other diseases of the respiratory system","435"
"2017","Kentucky","Hypertensive diseases","1225"
"2017","Kentucky","Chronic lower respiratory disease","3465"
"2017","Kentucky","Malignant neoplasms","10215"
"2017","Kentucky","Sepsis","959"
"2017","Kentucky","Other diseases of the respiratory system","1311"
"2017","Kentucky","Alzheimer disease and dementia","4263"
"2017","Kentucky","Ischemic heart disease","5337"
"2017","Kentucky","Heart failure","1596"
"2017","Kentucky","Other diseases of the circulatory system","2946"
"2017","Kentucky","Cerebrovascular diseases","2021"
"2017","Kentucky","Influenza and pneumonia","858"
"2017","Kentucky","Renal failure","1002"
"2017","Kentucky","Diabetes","1491"
"2017","Louisiana","Sepsis","1106"
"2017","Louisiana","Chronic lower respiratory disease","2461"
"2017","Louisiana","Hypertensive diseases","1498"
"2017","Louisiana","Malignant neoplasms","9480"
"2017","Louisiana","Ischemic heart disease","5131"
"2017","Louisiana","Influenza and pneumonia","685"
"2017","Louisiana","Cerebrovascular diseases","2465"
"2017","Louisiana","Heart failure","2152"
"2017","Louisiana","Other diseases of the circulatory system","3176"
"2017","Louisiana","Renal failure","1030"
"2017","Louisiana","Other diseases of the respiratory system","1235"
"2017","Louisiana","Alzheimer disease and dementia","3543"
"2017","Louisiana","Diabetes","1271"
"2017","Maine","Other diseases of the circulatory system","895"
"2017","Maine","Other diseases of the respiratory system","11"
"2017","Maine","Alzheimer disease and dementia","1685"
"2017","Maine","Chronic lower respiratory disease","957"
"2017","Maine","Ischemic heart disease","1465"
"2017","Maine","Cerebrovascular diseases","693"
"2017","Maine","Hypertensive diseases","22"
"2017","Maine","Malignant neoplasms","3337"
"2017","Maine","Heart failure","90"
"2017","Maine","Diabetes","81"
"2017","Maine","Influenza and pneumonia","50"
"2017","Maryland","Alzheimer disease and dementia","4472"
"2017","Maryland","Other diseases of the respiratory system","980"
"2017","Maryland","Chronic lower respiratory disease","2064"
"2017","Maryland","Renal failure","789"
"2017","Maryland","Sepsis","874"
"2017","Maryland","Influenza and pneumonia","975"
"2017","Maryland","Malignant neoplasms","10678"
"2017","Maryland","Hypertensive diseases","1961"
"2017","Maryland","Other diseases of the circulatory system","3329"
"2017","Maryland","Heart failure","815"
"2017","Maryland","Diabetes","1453"
"2017","Maryland","Cerebrovascular diseases","2720"
"2017","Maryland","Ischemic heart disease","6582"
"2017","Massachusetts","Influenza and pneumonia","1464"
"2017","Massachusetts","Diabetes","1335"
"2017","Massachusetts","Malignant neoplasms","13280"
"2017","Massachusetts","Sepsis","871"
"2017","Massachusetts","Other diseases of the respiratory system","1609"
"2017","Massachusetts","Alzheimer disease and dementia","7603"
"2017","Massachusetts","Hypertensive diseases","1254"
"2017","Massachusetts","Chronic lower respiratory disease","2854"
"2017","Massachusetts","Renal failure","1177"
"2017","Massachusetts","Cerebrovascular diseases","2389"
"2017","Massachusetts","Heart failure","2134"
"2017","Massachusetts","Ischemic heart disease","6148"
"2017","Massachusetts","Other diseases of the circulatory system","3955"
"2017","Michigan","Renal failure","1819"
"2017","Michigan","Chronic lower respiratory disease","5604"
"2017","Michigan","Ischemic heart disease","14626"
"2017","Michigan","Sepsis","1209"
"2017","Michigan","Diabetes","2755"
"2017","Michigan","Alzheimer disease and dementia","8453"
"2017","Michigan","Other diseases of the respiratory system","1788"
"2017","Michigan","Cerebrovascular diseases","4893"
"2017","Michigan","Other diseases of the circulatory system","5600"
"2017","Michigan","Influenza and pneumonia","1765"
"2017","Michigan","Hypertensive diseases","3063"
"2017","Michigan","Heart failure","3620"
"2017","Michigan","Malignant neoplasms","20342"
"2017","Minnesota","Ischemic heart disease","4174"
"2017","Minnesota","Other diseases of the respiratory system","870"
"2017","Minnesota","Influenza and pneumonia","501"
"2017","Minnesota","Sepsis","58"
"2017","Minnesota","Hypertensive diseases","1036"
"2017","Minnesota","Malignant neoplasms","9968"
"2017","Minnesota","Renal failure","278"
"2017","Minnesota","Chronic lower respiratory disease","2453"
"2017","Minnesota","Other diseases of the circulatory system","2886"
"2017","Minnesota","Alzheimer disease and dementia","5642"
"2017","Minnesota","Diabetes","1313"
"2017","Minnesota","Heart failure","1091"
"2017","Minnesota","Cerebrovascular diseases","2206"
"2017","Mississippi","Malignant neoplasms","6371"
"2017","Mississippi","Chronic lower respiratory disease","2014"
"2017","Mississippi","Ischemic heart disease","3538"
"2017","Mississippi","Sepsis","319"
"2017","Mississippi","Other diseases of the respiratory system","801"
"2017","Mississippi","Renal failure","657"
"2017","Mississippi","Influenza and pneumonia","673"
"2017","Mississippi","Hypertensive diseases","1647"
"2017","Mississippi","Alzheimer disease and dementia","2435"
"2017","Mississippi","Cerebrovascular diseases","1610"
"2017","Mississippi","Heart failure","1511"
"2017","Mississippi","Other diseases of the circulatory system","1876"
"2017","Mississippi","Diabetes","1173"
"2017","Missouri","Other diseases of the respiratory system","1896"
"2017","Missouri","Heart failure","2509"
"2017","Missouri","Alzheimer disease and dementia","5229"
"2017","Missouri","Other diseases of the circulatory system","4074"
"2017","Missouri","Chronic lower respiratory disease","4018"
"2017","Missouri","Malignant neoplasms","13456"
"2017","Missouri","Diabetes","1621"
"2017","Missouri","Ischemic heart disease","8305"
"2017","Missouri","Sepsis","889"
"2017","Missouri","Renal failure","1578"
"2017","Missouri","Influenza and pneumonia","1321"
"2017","Missouri","Cerebrovascular diseases","3386"
"2017","Missouri","Hypertensive diseases","1640"
"2017","Montana","Diabetes","11"
"2017","Montana","Other diseases of the circulatory system","480"
"2017","Montana","Alzheimer disease and dementia","904"
"2017","Montana","Ischemic heart disease","1203"
"2017","Montana","Hypertensive diseases","12"
"2017","Montana","Cerebrovascular diseases","250"
"2017","Montana","Influenza and pneumonia","34"
"2017","Montana","Chronic lower respiratory disease","665"
"2017","Montana","Heart failure","25"
"2017","Montana","Malignant neoplasms","2116"
"2017","Nebraska","Hypertensive diseases","214"
"2017","Nebraska","Other diseases of the circulatory system","1244"
"2017","Nebraska","Ischemic heart disease","1872"
"2017","Nebraska","Alzheimer disease and dementia","1778"
"2017","Nebraska","Malignant neoplasms","3534"
"2017","Nebraska","Other diseases of the respiratory system","138"
"2017","Nebraska","Cerebrovascular diseases","674"
"2017","Nebraska","Diabetes","389"
"2017","Nebraska","Influenza and pneumonia","155"
"2017","Nebraska","Heart failure","228"
"2017","Nebraska","Chronic lower respiratory disease","1227"
"2017","Nevada","Heart failure","102"
"2017","Nevada","Alzheimer disease and dementia","1759"
"2017","Nevada","Other diseases of the respiratory system","74"
"2017","Nevada","Diabetes","452"
"2017","Nevada","Other diseases of the circulatory system","2139"
"2017","Nevada","Chronic lower respiratory disease","1689"
"2017","Nevada","Cerebrovascular diseases","1210"
"2017","Nevada","Ischemic heart disease","3733"
"2017","Nevada","Influenza and pneumonia","594"
"2017","Nevada","Malignant neoplasms","5295"
"2017","Nevada","Hypertensive diseases","1112"
"2017","New Hampshire","Ischemic heart disease","1482"
"2017","New Hampshire","Diabetes","23"
"2017","New Hampshire","Malignant neoplasms","2648"
"2017","New Hampshire","Cerebrovascular diseases","169"
"2017","New Hampshire","Alzheimer disease and dementia","1389"
"2017","New Hampshire","Chronic lower respiratory disease","677"
"2017","New Hampshire","Influenza and pneumonia","12"
"2017","New Hampshire","Other diseases of the circulatory system","791"
"2017","New Hampshire","Hypertensive diseases","15"
"2017","New Hampshire","Heart failure","89"
"2017","New Hampshire","Other diseases of the respiratory system","11"
"2017","New Jersey","Ischemic heart disease","10526"
"2017","New Jersey","Cerebrovascular diseases","3440"
"2017","New Jersey","Influenza and pneumonia","1283"
"2017","New Jersey","Diabetes","1902"
"2017","New Jersey","Heart failure","2301"
"2017","New Jersey","Alzheimer disease and dementia","6399"
"2017","New Jersey","Renal failure","1574"
"2017","New Jersey","Other diseases of the circulatory system","5642"
"2017","New Jersey","Sepsis","1896"
"2017","New Jersey","Hypertensive diseases","1768"
"2017","New Jersey","Other diseases of the respiratory system","2494"
"2017","New Jersey","Malignant neoplasms","15964"
"2017","New Jersey","Chronic lower respiratory disease","3222"
"2017","New Mexico","Ischemic heart disease","2572"
"2017","New Mexico","Malignant neoplasms","3503"
"2017","New Mexico","Other diseases of the circulatory system","705"
"2017","New Mexico","Heart failure","78"
"2017","New Mexico","Diabetes","522"
"2017","New Mexico","Sepsis","11"
"2017","New Mexico","Hypertensive diseases","96"
"2017","New Mexico","Renal failure","23"
"2017","New Mexico","Other diseases of the respiratory system","11"
"2017","New Mexico","Chronic lower respiratory disease","1102"
"2017","New Mexico","Influenza and pneumonia","109"
"2017","New Mexico","Cerebrovascular diseases","754"
"2017","New Mexico","Alzheimer disease and dementia","1369"
"2017","New York","Influenza and pneumonia","2473"
"2017","New York","Malignant neoplasms","21657"
"2017","New York","Alzheimer disease and dementia","8295"
"2017","New York","Cerebrovascular diseases","4187"
"2017","New York","Other diseases of the circulatory system","6732"
"2017","New York","Diabetes","2348"
"2017","New York","Renal failure","1816"
"2017","New York","Heart failure","2592"
"2017","New York","Other diseases of the respiratory system","2457"
"2017","New York","Chronic lower respiratory disease","5405"
"2017","New York","Ischemic heart disease","16618"
"2017","New York","Hypertensive diseases","3015"
"2017","New York","Sepsis","1737"
"2017","New York City","Hypertensive diseases","3796"
"2017","New York City","Influenza and pneumonia","1994"
"2017","New York City","Chronic lower respiratory disease","1764"
"2017","New York City","Diabetes","1802"
"2017","New York City","Alzheimer disease and dementia","2998"
"2017","New York City","Sepsis","110"
"2017","New York City","Other diseases of the circulatory system","1744"
"2017","New York City","Other diseases of the respiratory system","467"
"2017","New York City","Ischemic heart disease","13263"
"2017","New York City","Heart failure","92"
"2017","New York City","Cerebrovascular diseases","1894"
"2017","New York City","Renal failure","83"
