"year","jurisdiction","cause_subgroup","deaths"
"2015","Hawaii","Chronic lower respiratory disease","60"
"2015","Hawaii","Heart failure","46"
"2015","Hawaii","Cerebrovascular diseases","658"
"2015","Hawaii","Influenza and pneumonia","349"
"2015","Hawaii","Alzheimer disease and dementia","1050"
"2015","Hawaii","Other diseases of the circulatory system","919"
"2015","Hawaii","Malignant neoplasms","2457"
"2015","Hawaii","Hypertensive diseases","12"
"2015","Hawaii","Ischemic heart disease","1328"
"2015","Idaho","Malignant neoplasms","2796"
"2015","Idaho","Hypertensive diseases","12"
"2015","Idaho","Alzheimer disease and dementia","1259"
"2015","Idaho","Other diseases of the respiratory system","11"
"2015","Idaho","Chronic lower respiratory disease","823"
"2015","Idaho","Diabetes","107"
"2015","Idaho","Cerebrovascular diseases","510"
"2015","Idaho","Other diseases of the circulatory system","880"
"2015","Idaho","Heart failure","114"
"2015","Idaho","Influenza and pneumonia","24"
"2015","Idaho","Ischemic heart disease","1554"
"2015","Illinois","Alzheimer disease and dementia","9544"
"2015","Illinois","Other diseases of the circulatory system","6983"
"2015","Illinois","Heart failure","3874"
"2015","Illinois","Influenza and pneumonia","2236"
"2015","Illinois","Cerebrovascular diseases","5532"
"2015","Illinois","Chronic lower respiratory disease","5369"
"2015","Illinois","Ischemic heart disease","13073"
"2015","Illinois","Diabetes","2736"
"2015","Illinois","Renal failure","2431"
"2015","Illinois","Hypertensive diseases","3272"
"2015","Illinois","Sepsis","1714"
"2015","Illinois","Other diseases of the respiratory system","2470"
"2015","Illinois","Malignant neoplasms","24069"
"2015","Indiana","Renal failure","1468"
"2015","Indiana","Heart failure","1799"
"2015","Indiana","Influenza and pneumonia","979"
"2015","Indiana","Sepsis","1175"
"2015","Indiana","Cerebrovascular diseases","2915"
"2015","Indiana","Hypertensive diseases","1399"
"2015","Indiana","Diabetes","2054"
"2015","Indiana","Chronic lower respiratory disease","4254"
"2015","Indiana","Other diseases of the circulatory system","4374"
"2015","Indiana","Other diseases of the respiratory system","1508"
"2015","Indiana","Ischemic heart disease","7918"
"2015","Indiana","Malignant neoplasms","13477"
"2015","Indiana","Alzheimer disease and dementia","5993"
"2015","Iowa","Ischemic heart disease","4361"
"2015","Iowa","Hypertensive diseases","882"
"2015","Iowa","Alzheimer disease and dementia","2858"
"2015","Iowa","Other diseases of the circulatory system","1708"
"2015","Iowa","Cerebrovascular diseases","1394"
"2015","Iowa","Heart failure","168"
"2015","Iowa","Diabetes","1065"
"2015","Iowa","Influenza and pneumonia","340"
"2015","Iowa","Chronic lower respiratory disease","1997"
"2015","Iowa","Malignant neoplasms","6456"
"2015","Iowa","Renal failure","13"
"2015","Iowa","Other diseases of the respiratory system","515"
"2015","Kansas","Sepsis","73"
"2015","Kansas","Heart failure","908"
"2015","Kansas","Other diseases of the respiratory system","516"
"2015","Kansas","Other diseases of the circulatory system","2073"
"2015","Kansas","Diabetes","564"
"2015","Kansas","Influenza and pneumonia","424"
"2015","Kansas","Chronic lower respiratory disease","1675"
"2015","Kansas","Malignant neoplasms","5342"
"2015","Kansas","Cerebrovascular diseases","1266"
"2015","Kansas","Ischemic heart disease","2987"
"2015","Kansas","Renal failure","286"
"2015","Kansas","Hypertensive diseases","174"
"2015","Kansas","Alzheimer disease and dementia","2532"
"2015","Kentucky","Hypertensive diseases","1169"
"2015","Kentucky","Heart failure","1537"
"2015","Kentucky","Other diseases of the respiratory system","1265"
"2015","Kentucky","Malignant neoplasms","10302"
"2015","Kentucky","Sepsis","819"
"2015","Kentucky","Alzheimer disease and dementia","3859"
"2015","Kentucky","Chronic lower respiratory disease","3284"
"2015","Kentucky","Other diseases of the circulatory system","2837"
"2015","Kentucky","Influenza and pneumonia","930"
"2015","Kentucky","Ischemic heart disease","5327"
"2015","Kentucky","Renal failure","949"
"2015","Kentucky","Cerebrovascular diseases","2024"
"2015","Kentucky","Diabetes","1440"
"2015","Louisiana","Diabetes","1205"
"2015","Louisiana","Sepsis","970"
"2015","Louisiana","Heart failure","2004"
"2015","Louisiana","Other diseases of the circulatory system","2771"
"2015","Louisiana","Malignant neoplasms","9375"
"2015","Louisiana","Hypertensive diseases","1417"
"2015","Louisiana","Influenza and pneumonia","659"
"2015","Louisiana","Chronic lower respiratory disease","2176"
"2015","Louisiana","Ischemic heart disease","5196"
"2015","Louisiana","Renal failure","1156"
"2015","Louisiana","Other diseases of the respiratory system","1154"
"2015","Louisiana","Alzheimer disease and dementia","3345"
"2015","Louisiana","Cerebrovascular diseases","2307"
"2015","Maine","Influenza and pneumonia","142"
"2015","Maine","Chronic lower respiratory disease","1002"
"2015","Maine","Malignant neoplasms","3327"
"2015","Maine","Alzheimer disease and dementia","1697"
"2015","Maine","Heart failure","105"
"2015","Maine","Other diseases of the circulatory system","996"
"2015","Maine","Other diseases of the respiratory system","34"
"2015","Maine","Ischemic heart disease","1609"
"2015","Maine","Diabetes","122"
"2015","Maine","Cerebrovascular diseases","466"
"2015","Maryland","Other diseases of the circulatory system","3211"
"2015","Maryland","Hypertensive diseases","1860"
"2015","Maryland","Chronic lower respiratory disease","2012"
"2015","Maryland","Renal failure","757"
"2015","Maryland","Malignant neoplasms","10417"
"2015","Maryland","Other diseases of the respiratory system","904"
"2015","Maryland","Cerebrovascular diseases","2448"
"2015","Maryland","Ischemic heart disease","6586"
"2015","Maryland","Alzheimer disease and dementia","4328"
"2015","Maryland","Diabetes","1232"
"2015","Maryland","Heart failure","754"
"2015","Maryland","Sepsis","929"
"2015","Maryland","Influenza and pneumonia","1175"
"2015","Massachusetts","Ischemic heart disease","6630"
"2015","Massachusetts","Diabetes","1406"
"2015","Massachusetts","Heart failure","1955"
"2015","Massachusetts","Other diseases of the circulatory system","3791"
"2015","Massachusetts","Sepsis","899"
"2015","Massachusetts","Cerebrovascular diseases","2478"
"2015","Massachusetts","Other diseases of the respiratory system","1502"
"2015","Massachusetts","Chronic lower respiratory disease","2788"
"2015","Massachusetts","Alzheimer disease and dementia","7060"
"2015","Massachusetts","Renal failure","1220"
"2015","Massachusetts","Hypertensive diseases","1131"
"2015","Massachusetts","Influenza and pneumonia","1534"
"2015","Massachusetts","Malignant neoplasms","13075"
"2015","Michigan","Hypertensive diseases","2759"
"2015","Michigan","Diabetes","2704"
"2015","Michigan","Alzheimer disease and dementia","7954"
"2015","Michigan","Heart failure","3280"
"2015","Michigan","Sepsis","1215"
"2015","Michigan","Influenza and pneumonia","1821"
"2015","Michigan","Other diseases of the circulatory system","5789"
"2015","Michigan","Malignant neoplasms","20428"
"2015","Michigan","Other diseases of the respiratory system","1801"
"2015","Michigan","Renal failure","1865"
"2015","Michigan","Ischemic heart disease","14690"
"2015","Michigan","Cerebrovascular diseases","4568"
"2015","Michigan","Chronic lower respiratory disease","5758"
"2015","Minnesota","Chronic lower respiratory disease","2295"
"2015","Minnesota","Influenza and pneumonia","508"
"2015","Minnesota","Cerebrovascular diseases","2160"
"2015","Minnesota","Diabetes","1195"
"2015","Minnesota","Other diseases of the respiratory system","809"
"2015","Minnesota","Sepsis","139"
"2015","Minnesota","Malignant neoplasms","9754"
"2015","Minnesota","Alzheimer disease and dementia","5164"
"2015","Minnesota","Renal failure","488"
"2015","Minnesota","Heart failure","1126"
"2015","Minnesota","Hypertensive diseases","742"
"2015","Minnesota","Other diseases of the circulatory system","2888"
"2015","Minnesota","Ischemic heart disease","3795"
"2015","Mississippi","Renal failure","616"
"2015","Mississippi","Other diseases of the respiratory system","753"
"2015","Mississippi","Hypertensive diseases","1467"
"2015","Mississippi","Heart failure","1480"
"2015","Mississippi","Ischemic heart disease","3589"
"2015","Mississippi","Other diseases of the circulatory system","1962"
"2015","Mississippi","Sepsis","488"
"2015","Mississippi","Chronic lower respiratory disease","1891"
"2015","Mississippi","Alzheimer disease and dementia","2280"
"2015","Mississippi","Influenza and pneumonia","632"
"2015","Mississippi","Diabetes","1079"
"2015","Mississippi","Cerebrovascular diseases","1640"
"2015","Mississippi","Malignant neoplasms","6299"
"2015","Missouri","Hypertensive diseases","1322"
"2015","Missouri","Sepsis","903"
"2015","Missouri","Other diseases of the circulatory system","4189"
"2015","Missouri","Chronic lower respiratory disease","3972"
